,Date,Open,High,Low,Close,Volume
0,2000-01-04,0,9.0,-8.0,-6.0,0.0
1,2000-01-05,-20,9.0,-3.0,7.0,3016000.0
2,2000-01-06,-5,1.0,-37.0,-30.0,887000.0
3,2000-01-07,-5,2.0,-15.0,-10.0,-53000.0
4,2000-01-11,40,15.0,-10.0,1.0,-488000.0
5,2000-01-12,-2,33.0,-7.0,31.0,2373000.0
6,2000-01-13,-11,1.0,-14.0,-11.0,-4487000.0
7,2000-01-14,9,2.0,-20.0,-9.0,997000.0
8,2000-01-17,10,2.0,-4.0,2.0,68000.0
9,2000-01-18,-5,1.0,-8.0,-5.0,-2900000.0
10,2000-01-19,0,5.0,-30.0,-25.0,1704000.0
11,2000-01-20,-3,3.0,-9.0,-2.0,758000.0
12,2000-01-21,-5,8.0,-8.0,-5.0,-499000.0
13,2000-01-24,-7,5.0,-23.0,-15.0,4403000.0
14,2000-01-25,-10,19.0,-1.0,8.0,-1868000.0
15,2000-01-26,4,16.0,-11.0,16.0,-1427000.0
16,2000-01-27,5,3.0,-9.0,-5.0,379000.0
17,2000-01-28,5,12.0,-4.0,11.0,158000.0
18,2000-01-31,-5,4.0,-7.0,-1.0,-881000.0
19,2000-02-01,2,8.0,-9.0,-9.0,1552000.0
20,2000-02-02,4,13.0,-11.0,5.0,-1395000.0
21,2000-02-03,5,0.0,-14.0,-13.0,-1488000.0
22,2000-02-04,5,4.0,-6.0,-2.0,86000.0
23,2000-02-07,5,21.0,-15.0,20.0,2695000.0
24,2000-02-08,5,8.0,-17.0,3.0,4320000.0
25,2000-02-09,0,17.0,-7.0,17.0,-2017000.0
26,2000-02-10,30,23.0,-15.0,18.0,24711000.0
27,2000-02-14,10,13.0,-6.0,3.0,-13560000.0
28,2000-02-15,6,3.0,-26.0,-21.0,-6165000.0
29,2000-02-16,-10,4.0,-14.0,-5.0,-7477000.0
30,2000-02-17,0,16.0,-11.0,16.0,514000.0
31,2000-02-18,10,0.0,-21.0,-13.0,2111000.0
32,2000-02-21,-10,22.0,-4.0,15.0,-1534000.0
33,2000-02-22,0,0.0,-22.0,-20.0,-1797000.0
34,2000-02-23,8,10.0,-5.0,-2.0,2156000.0
35,2000-02-24,12,20.0,-5.0,12.0,5407000.0
36,2000-02-25,3,14.0,-4.0,3.0,-709000.0
37,2000-02-28,6,19.0,-1.0,12.0,9664000.0
38,2000-02-29,0,14.0,-9.0,14.0,-7000000.0
39,2000-03-01,7,16.0,-5.0,1.0,5978000.0
40,2000-03-02,10,7.0,-11.0,0.0,-4591000.0
41,2000-03-03,-3,1.0,-30.0,-30.0,-9241000.0
42,2000-03-06,13,4.0,-52.0,-48.0,642000.0
43,2000-03-07,-10,17.0,-4.0,7.0,-2478000.0
44,2000-03-08,9,0.0,-14.0,-12.0,-1835000.0
45,2000-03-09,2,1.0,-13.0,-11.0,629000.0
46,2000-03-10,10,4.0,-10.0,-1.0,2280000.0
47,2000-03-13,-4,0.0,-25.0,-18.0,212000.0
48,2000-03-14,-11,12.0,-1.0,4.0,-854000.0
49,2000-03-15,0,23.0,-9.0,23.0,922000.0
50,2000-03-16,0,14.0,-12.0,7.0,-1348000.0
51,2000-03-17,12,8.0,-3.0,3.0,1574000.0
52,2000-03-21,0,1.0,-11.0,-10.0,-3314000.0
53,2000-03-22,-5,0.0,-23.0,-23.0,870000.0
54,2000-03-23,3,20.0,0.0,18.0,-1461000.0
55,2000-03-24,-6,8.0,-14.0,-7.0,-107000.0
56,2000-03-27,20,0.0,-30.0,-16.0,385000.0
57,2000-03-28,0,10.0,-7.0,6.0,-1084000.0
58,2000-03-29,8,15.0,-1.0,12.0,1352000.0
59,2000-03-30,2,8.0,-10.0,-3.0,300000.0
60,2000-03-31,-3,4.0,-9.0,-9.0,-1562000.0
61,2000-04-03,0,10.0,-8.0,2.0,1408000.0
62,2000-04-04,-8,25.0,0.0,11.0,683000.0
63,2000-04-05,-7,21.0,0.0,10.0,-808000.0
64,2000-04-06,2,6.0,-15.0,-8.0,-975000.0
65,2000-04-07,-4,3.0,-12.0,-6.0,701000.0
66,2000-04-10,1,8.0,-5.0,1.0,-385000.0
67,2000-04-11,-2,0.0,-9.0,-5.0,-262000.0
68,2000-04-12,3,18.0,-6.0,18.0,528000.0
69,2000-04-13,0,0.0,-19.0,-12.0,561000.0
70,2000-04-14,-10,10.0,-3.0,-1.0,701000.0
71,2000-04-17,-50,11.0,-12.0,3.0,5020000.0
72,2000-04-18,5,9.0,-25.0,-6.0,-2408000.0
73,2000-04-19,10,29.0,-4.0,25.0,-493000.0
74,2000-04-20,-2,0.0,-22.0,-7.0,-2657000.0
75,2000-04-21,-10,9.0,-20.0,-20.0,2282000.0
76,2000-04-24,19,16.0,-4.0,6.0,-1254000.0
77,2000-04-25,7,0.0,-12.0,-7.0,-1648000.0
78,2000-04-26,10,5.0,-10.0,1.0,848000.0
79,2000-04-27,-5,4.0,-8.0,-8.0,-1186000.0
80,2000-04-28,3,5.0,-3.0,-3.0,-425000.0
81,2000-05-01,10,12.0,-4.0,11.0,1117000.0
82,2000-05-02,5,8.0,-4.0,-4.0,870000.0
83,2000-05-08,8,9.0,-3.0,3.0,-1168000.0
84,2000-05-09,0,5.0,-17.0,-11.0,1328000.0
85,2000-05-10,0,14.0,-6.0,14.0,-1065000.0
86,2000-05-11,-12,3.0,-17.0,-15.0,227000.0
