predictDate,predict,hit,hitRate,differenceValue,sumValue,updateDate
2019-04-15,1,1.0,100.0,90.0,3870.0,2019-04-14 23:29
2019-04-16,1,1.0,100.0,70.0,6880.0,2019-04-15 23:29
2019-04-17,-1,0.0,66.67,30.0,5590.0,2019-04-16 23:50:29
2019-04-18,1,0.0,50.0,-200.0,-3010.0,2019-04-17 20:41:01
2019-04-19,1,0.0,40.0,-50.0,-5160.0,2019-04-18 22:19:00
2019-04-22,1,1.0,50.0,20.0,-4300.0,2019-04-19 21:00:35
2019-04-23,1,1.0,57.14,20.0,-3440.0,2019-04-22 21:29:40
2019-04-24,1,0.0,50.0,-140.0,-9460.0,2019-04-23 21:00:13
2019-04-25,1,1.0,55.56,110.0,-4730.0,2019-04-24 21:00:20
2019-04-26,1,1.0,60.0,90.0,-860.0,2019-04-25 21:00:22
2019-05-07,1,0.0,54.545,-210.0,-9890.0,2019-04-26 21:00:22
2019-05-08,-1,1.0,58.333,-20.0,-9010.0,2019-05-07 21:00:35
2019-05-09,1,0.0,53.846,-90.0,-12970.0,2019-05-08 21:00:32
2019-05-10,1,0.0,50.0,-50.0,-15170.0,2019-05-09 21:00:24
2019-05-13,1,1.0,53.333,0.0,-15170.0,2019-05-10 21:00:29
2019-05-14,-1,0.0,50.0,250.0,-26670.0,2019-05-13 21:00:25
2019-05-15,-1,0.0,47.059,60.0,-29370.0,2019-05-14 21:00:29
2019-05-16,1,0.0,44.443999999999996,-90.0,-33420.0,2019-05-15 21:11:01
2019-05-17,1,1.0,47.368,10.0,-32970.0,2019-05-16 21:00:16
2019-05-20,-1,0.0,45.0,40.0,-34770.0,2019-05-17 21:00:22
2019-05-21,1,1.0,47.619,60.0,-32070.0,2019-05-20 21:00:25
2019-05-22,-1,1.0,50.0,-120.0,-26790.0,2019-05-21 21:00:32
2019-05-23,1,0.0,47.826,-50.0,-29040.0,2019-05-22 21:00:36
2019-05-24,1,1.0,50.0,190.0,-20490.0,2019-05-23 21:00:32
2019-05-27,-1,0.0,48.0,20.0,-21390.0,2019-05-24 21:00:28
2019-05-28,1,1.0,50.0,50.0,-19140.0,2019-05-27 21:00:10
2019-05-29,1,0.0,48.148,-50.0,-21390.0,2019-05-28 21:00:01
2019-05-30,1,1.0,50.0,40.0,-19550.0,2019-05-29 21:00:01
2019-05-31,1,0.0,48.276,-210.0,-29210.0,2019-05-30 21:00:01
2019-06-03,1,,,,,2019-05-31 21:00:01
