Date,Open,High,Low,Close,Adj Close,Volume
2002-01-31,138.0,145.0,132.0,145.0,1450,2174000
2002-02-01,141.0,143.0,136.0,138.0,1380,2198000
2002-02-04,135.0,137.0,132.0,137.0,1370,594000
2002-02-05,132.0,140.0,132.0,140.0,1400,923000
2002-02-06,137.0,141.0,136.0,139.0,1390,696000
2002-02-07,138.0,154.0,137.0,146.0,1460,1982000
2002-02-08,141.0,147.0,140.0,141.0,1410,1850000
2002-02-12,150.0,154.0,148.0,150.0,1500,845000
2002-02-13,155.0,178.0,152.0,173.0,1730,3635000
2002-02-14,173.0,174.0,163.0,163.0,1630,1464000
2002-02-15,163.0,167.0,161.0,167.0,1670,939000
2002-02-18,170.0,172.0,168.0,170.0,1700,879000
2002-02-19,170.0,170.0,165.0,168.0,1680,954000
2002-02-20,167.0,172.0,167.0,169.0,1690,950000
2002-02-21,170.0,177.0,170.0,175.0,1750,1631000
2002-02-22,173.0,175.0,171.0,173.0,1730,663000
2002-02-25,171.0,176.0,171.0,176.0,1760,576000
2002-02-26,177.0,178.0,175.0,177.0,1770,713000
2002-02-27,176.0,180.0,175.0,180.0,1800,1122000
2002-02-28,181.0,185.0,181.0,182.0,1820,1683000
2002-03-01,183.0,187.0,180.0,187.0,1870,1253000
2002-03-04,187.0,196.0,187.0,192.0,1920,1924000
2002-03-05,195.0,197.0,193.0,196.0,1960,1220000
2002-03-06,195.0,201.0,193.0,200.0,2000,905000
2002-03-07,201.0,214.0,200.0,214.0,2140,1852000
2002-03-08,214.0,224.0,211.0,214.0,2140,3841000
2002-03-11,214.0,217.0,209.0,216.0,2160,1389000
2002-03-12,216.0,217.0,210.0,213.0,2130,917000
2002-03-13,211.0,211.0,195.0,195.0,1950,1062000
2002-03-14,194.0,197.0,187.0,197.0,1970,892000
2002-03-15,195.0,200.0,195.0,200.0,2000,615000
2002-03-18,205.0,205.0,196.0,196.0,1960,514000
2002-03-19,198.0,200.0,195.0,195.0,1950,863000
2002-03-20,198.0,200.0,190.0,200.0,2000,749000
2002-03-22,198.0,198.0,193.0,194.0,1940,1225000
2002-03-25,195.0,205.0,195.0,205.0,2050,1264000
2002-03-26,202.0,205.0,199.0,200.0,2000,2192000
2002-03-27,200.0,206.0,198.0,204.0,2040,1268000
2002-03-28,205.0,215.0,204.0,212.0,2120,1271000
2002-03-29,212.0,212.0,202.0,202.0,2020,1125000
2002-04-01,204.0,206.0,194.0,196.0,1960,644000
2002-04-02,195.0,197.0,191.0,195.0,1950,346000
2002-04-03,191.0,200.0,190.0,200.0,2000,482000
2002-04-04,198.0,200.0,195.0,196.0,1960,684000
2002-04-05,196.0,199.0,195.0,198.0,1980,489000
2002-04-08,195.0,199.0,195.0,198.0,1980,298000
2002-04-09,199.0,199.0,192.0,196.0,1960,424000
2002-04-10,196.0,208.0,196.0,208.0,2080,1276000
2002-04-11,208.0,213.0,201.0,201.0,2010,819000
2002-04-12,200.0,201.0,195.0,200.0,2000,928000
2002-04-15,199.0,200.0,194.0,198.0,1980,515000
2002-04-16,194.0,198.0,192.0,196.0,1960,523000
2002-04-17,196.0,198.0,194.0,195.0,1950,449000
2002-04-18,197.0,197.0,190.0,190.0,1900,1267000
2002-04-19,191.0,195.0,191.0,194.0,1940,461000
2002-04-22,194.0,196.0,193.0,193.0,1930,602000
2002-04-23,192.0,194.0,191.0,192.0,1920,783000
2002-04-24,191.0,192.0,190.0,192.0,1920,486000
2002-04-25,191.0,192.0,191.0,191.0,1910,518000
2002-04-26,193.0,193.0,184.0,190.0,1900,1171000
2002-04-30,190.0,190.0,185.0,185.0,1850,1217000
2002-05-01,188.0,189.0,185.0,186.0,1860,961000
2002-05-02,187.0,190.0,186.0,187.0,1870,402000
2002-05-07,189.0,189.0,186.0,186.0,1860,368000
2002-05-08,186.0,187.0,185.0,187.0,1870,317000
2002-05-09,186.0,190.0,183.0,185.0,1850,1174000
2002-05-10,184.0,188.0,183.0,187.0,1870,476000
2002-05-13,187.0,196.0,185.0,186.0,1860,1396000
2002-05-14,188.0,188.0,183.0,185.0,1850,1154000
2002-05-15,186.0,188.0,184.0,185.0,1850,872000
2002-05-16,186.0,188.0,185.0,185.0,1850,1328000
2002-05-17,190.0,190.0,185.0,186.0,1860,1282000
2002-05-20,188.0,188.0,183.0,184.0,1840,1159000
2002-05-21,184.0,184.0,181.0,182.0,1820,577000
2002-05-22,182.0,186.0,182.0,182.0,1820,1174000
2002-05-23,188.0,192.0,185.0,191.0,1910,3007000
2002-05-24,200.0,212.0,194.0,212.0,2120,6520000
2002-05-27,227.0,235.0,223.0,231.0,2310,5489000
2002-05-28,228.0,232.0,222.0,232.0,2320,2635000
2002-05-29,229.0,232.0,226.0,232.0,2320,2921000
2002-05-30,231.0,235.0,227.0,231.0,2310,4459000
2002-05-31,233.0,239.0,232.0,237.0,2370,6335000
2002-06-03,240.0,283.0,239.0,281.0,2810,13311000
2002-06-04,282.0,325.0,280.0,302.0,3020,24505000
2002-06-05,310.0,315.0,296.0,299.0,2990,14666000
2002-06-06,296.0,303.0,289.0,302.0,3020,10952000
2002-06-07,292.0,303.0,292.0,299.0,2990,6874000
2002-06-10,305.0,312.0,303.0,304.0,3040,7131000
2002-06-11,309.0,309.0,302.0,307.0,3070,3727000
2002-06-12,304.0,308.0,301.0,301.0,3010,4217000
2002-06-13,302.0,303.0,281.0,281.0,2810,5129000
2002-06-14,276.0,280.0,264.0,273.0,2730,7355000
2002-06-17,264.0,264.0,254.0,254.0,2540,4636000
2002-06-18,269.0,270.0,254.0,262.0,2620,3670000
2002-06-19,261.0,262.0,253.0,254.0,2540,3163000
2002-06-20,250.0,282.0,245.0,282.0,2820,6830000
2002-06-21,270.0,280.0,268.0,275.0,2750,6130000
2002-06-24,266.0,282.0,261.0,282.0,2820,5188000
2002-06-25,279.0,284.0,274.0,279.0,2790,2613000
2002-06-26,271.0,274.0,265.0,266.0,2660,2645000
2002-06-27,268.0,271.0,252.0,261.0,2610,6572000
2002-06-28,264.0,266.0,248.0,249.0,2490,7338000
2002-07-01,250.0,254.0,242.0,243.0,2430,7514000
2002-07-02,241.0,244.0,231.0,244.0,2440,5847000
2002-07-03,239.0,269.0,236.0,269.0,2690,6922000
2002-07-04,270.0,272.0,261.0,262.0,2620,4325000
2002-07-05,262.0,270.0,262.0,270.0,2700,2663000
2002-07-08,277.0,277.0,262.0,262.0,2620,4163000
2002-07-09,266.0,274.0,262.0,271.0,2710,5423000
2002-07-10,276.0,284.0,274.0,275.0,2750,7070000
2002-07-11,272.0,274.0,267.0,269.0,2690,2338000
2002-07-12,274.0,295.0,273.0,293.0,2930,11631000
2002-07-15,292.0,294.0,285.0,286.0,2860,6126000
2002-07-16,285.0,287.0,280.0,282.0,2820,3177000
2002-07-17,280.0,282.0,271.0,272.0,2720,2676000
2002-07-18,281.0,282.0,273.0,276.0,2760,1969000
2002-07-19,279.0,286.0,275.0,279.0,2790,4773000
2002-07-22,273.0,290.0,272.0,284.0,2840,3373000
2002-07-23,286.0,302.0,285.0,295.0,2950,9072000
2002-07-24,299.0,306.0,288.0,298.0,2980,8080000
2002-07-25,303.0,305.0,292.0,295.0,2950,3211000
2002-07-26,291.0,294.0,285.0,285.0,2850,2816000
2002-07-29,286.0,290.0,281.0,281.0,2810,1576000
2002-07-30,286.0,291.0,280.0,288.0,2880,1957000
2002-07-31,292.0,293.0,285.0,285.0,2850,1844000
2002-08-01,290.0,290.0,282.0,283.0,2830,1719000
2002-08-02,280.0,285.0,279.0,282.0,2820,1195000
2002-08-05,277.0,283.0,277.0,280.0,2800,1233000
2002-08-06,277.0,280.0,273.0,273.0,2730,1266000
2002-08-07,274.0,278.0,273.0,277.0,2770,1537000
2002-08-08,280.0,283.0,276.0,279.0,2790,2446000
2002-08-09,280.0,280.0,276.0,278.0,2780,1143000
2002-08-12,279.0,279.0,269.0,272.0,2720,1918000
2002-08-13,269.0,274.0,269.0,272.0,2720,827000
2002-08-14,274.0,275.0,270.0,273.0,2730,925000
2002-08-15,277.0,280.0,273.0,279.0,2790,1338000
2002-08-16,282.0,282.0,270.0,274.0,2740,1355000
2002-08-19,274.0,274.0,265.0,268.0,2680,754000
2002-08-20,270.0,272.0,267.0,270.0,2700,1075000
2002-08-21,269.0,272.0,267.0,268.0,2680,1012000
2002-08-22,268.0,271.0,268.0,271.0,2710,1442000
2002-08-23,274.0,275.0,270.0,270.0,2700,1569000
2002-08-26,268.0,278.0,268.0,277.0,2770,1536000
2002-08-27,275.0,276.0,270.0,270.0,2700,1500000
2002-08-28,272.0,275.0,270.0,272.0,2720,1140000
2002-08-29,270.0,271.0,268.0,269.0,2690,678000
2002-08-30,270.0,271.0,269.0,271.0,2710,692000
2002-09-02,271.0,271.0,267.0,267.0,2670,742000
2002-09-03,262.0,263.0,245.0,248.0,2480,3933000
2002-09-04,235.0,246.0,230.0,233.0,2330,4363000
2002-09-05,238.0,238.0,228.0,235.0,2350,3920000
2002-09-06,245.0,249.0,241.0,242.0,2420,12193000
2002-09-09,247.0,249.0,243.0,248.0,2480,7503000
2002-09-10,248.0,254.0,246.0,248.0,2480,18335000
2002-09-11,250.0,251.0,244.0,245.0,2450,7987000
2002-09-12,242.0,247.0,241.0,245.0,2450,3371000
2002-09-13,235.0,241.0,235.0,237.0,2370,5559000
2002-09-17,247.0,251.0,242.0,248.0,2480,1307000
2002-09-18,243.0,260.0,236.0,260.0,2600,2041000
2002-09-19,305.0,337.0,296.0,317.0,3170,23970000
2002-09-20,302.0,312.0,291.0,295.0,2950,7577000
2002-09-24,282.0,282.0,265.0,270.0,2700,7535000
2002-09-25,265.0,280.0,261.0,267.0,2670,3954000
2002-09-26,287.0,294.0,279.0,294.0,2940,7887000
2002-09-27,305.0,310.0,298.0,307.0,3070,9828000
2002-09-30,292.0,312.0,292.0,302.0,3020,5331000
2002-10-01,294.0,296.0,282.0,284.0,2840,3828000
2002-10-02,287.0,290.0,268.0,268.0,2680,3497000
2002-10-03,267.0,273.0,246.0,251.0,2510,6514000
2002-10-04,246.0,254.0,235.0,239.0,2390,7957000
2002-10-07,235.0,235.0,220.0,221.0,2210,8040000
2002-10-08,218.0,231.0,215.0,218.0,2180,4300000
2002-10-09,220.0,222.0,210.0,214.0,2140,3751000
2002-10-10,210.0,220.0,209.0,220.0,2200,3768000
2002-10-11,230.0,230.0,215.0,217.0,2170,2980000
2002-10-15,226.0,226.0,221.0,224.0,2240,1229000
2002-10-16,232.0,233.0,227.0,230.0,2300,2410000
2002-10-17,231.0,243.0,231.0,237.0,2370,1776000
2002-10-18,242.0,242.0,229.0,236.0,2360,1721000
2002-10-21,231.0,236.0,231.0,234.0,2340,1079000
2002-10-22,233.0,234.0,224.0,227.0,2270,2596000
2002-10-23,219.0,219.0,211.0,211.0,2110,4337000
2002-10-24,210.0,214.0,202.0,203.0,2030,5205000
2002-10-25,202.0,212.0,202.0,212.0,2120,4100000
2002-10-28,212.0,212.0,201.0,202.0,2020,2677000
2002-10-29,202.0,213.0,201.0,208.0,2080,1571000
2002-10-30,209.0,228.0,207.0,225.0,2250,3060000
2002-10-31,234.0,235.0,221.0,221.0,2210,2180000
2002-11-01,218.0,220.0,215.0,218.0,2180,1419000
2002-11-05,218.0,220.0,217.0,219.0,2190,701000
2002-11-06,216.0,223.0,216.0,221.0,2210,864000
2002-11-07,220.0,221.0,216.0,221.0,2210,991000
2002-11-08,215.0,217.0,210.0,212.0,2120,1836000
2002-11-11,209.0,212.0,205.0,207.0,2070,2209000
2002-11-12,205.0,207.0,202.0,206.0,2060,4601000
2002-11-13,206.0,207.0,201.0,204.0,2040,1429000
2002-11-14,201.0,203.0,188.0,190.0,1900,2627000
2002-11-15,194.0,197.0,179.0,186.0,1860,3483000
2002-11-18,185.0,185.0,172.0,172.0,1720,1983000
2002-11-19,168.0,169.0,149.0,158.0,1580,3618000
2002-11-20,156.0,174.0,155.0,162.0,1620,4842000
2002-11-21,172.0,185.0,166.0,182.0,1820,4765000
2002-11-22,184.0,185.0,167.0,177.0,1770,3252000
2002-11-25,175.0,192.0,172.0,182.0,1820,2494000
2002-11-26,185.0,191.0,182.0,183.0,1830,1896000
2002-11-27,180.0,187.0,180.0,185.0,1850,882000
2002-11-28,189.0,192.0,187.0,191.0,1910,1362000
2002-11-29,193.0,197.0,190.0,193.0,1930,1542000
2002-12-02,190.0,195.0,187.0,192.0,1920,1234000
2002-12-03,191.0,192.0,186.0,187.0,1870,790000
2002-12-04,182.0,187.0,178.0,187.0,1870,1386000
2002-12-05,187.0,188.0,182.0,185.0,1850,643000
2002-12-06,180.0,184.0,177.0,183.0,1830,771000
2002-12-09,180.0,183.0,177.0,181.0,1810,518000
2002-12-10,186.0,191.0,184.0,190.0,1900,1621000
2002-12-11,193.0,194.0,185.0,186.0,1860,989000
2002-12-12,184.0,188.0,183.0,188.0,1880,420000
2002-12-13,188.0,188.0,182.0,185.0,1850,2442000
